292|A PATROL OF GIANTS LED BY A HUMAN FIGHTER|ПАТРУЛЬ ГИГАНТОВ, СВЯЗАННЫЙ БОРЬБОМ-ЧЕЛОВЕКОМ
293| SURPRISES YOU.| УДИВИТ ВАС.
294| 'THAT'S THEM! GET THEM!'| ЭТО ОНИ! ВЗЯТЬ ИХ!'
295|YOU ENTER A BUILDING WHERE WOMEN ARE WASHING CLOTHES. AS YOU COME IN, THEY RETREAT TO THE CORNER LOOKING FEARFULLY AT YOU.|ВЫ ЗАХОДИТЕ В ЗДАНИЕ, ГДЕ ЖЕНЩИНЫ СТИРАЮТ ОДЕЖДУ. КАК ВЫ заходите, они возвращаются в угол, со страхом глядя на вас.
296|YOU HEAR ONE OF THEM WHISPER, 'THEY DON'T BELONG HERE; THEY MUST HAVE COME TO KILL TYRANTHRAXUS'. A HALF-ORC WOMAN STEPS FORWARD 'WHAT DO YOU WANT OF US?'|ВЫ СЛЫШАЕТЕ ОДИН ИЗ НИХ шепот: "ОНИ НЕ ЗДЕСЬ; ОНИ ДОЛЖНЫ ПРИБЫТЬ, ЧТОБЫ УБИТЬ ТИРАНТРАКСА ". ЖЕНЩИНА ИЗ ПОЛОВИНКИ ДВИГАЕТСЯ ВПЕРЕД "ЧТО ВЫ ХОТИТЕ ОТ НАС?"
297|'PLEASE DON'T KILL US,' SHE SAYS. 'IF YOU DON'T WE WILL GIVE YOU THESE CLOTHES TO USE AS A DISGUISE. WE SWEAR WE WON'T SAY ANYTHING!|"ПОЖАЛУЙСТА, НЕ УБИВАЙТЕ НАС", - ГОВОРЕТ ОНА. "ЕСЛИ ТЫ НЕТ, МЫ ДАЕМ ВАМ ЭТУ ОДЕЖДУ ДЛЯ ИСПОЛЬЗОВАНИЯ В КАЧЕСТВЕ ЗАДАЧИ. КЛЯНЕМСЯ, МЫ НИЧЕГО НЕ СКАЖЕМ!
298|'WELL THEN, GOOD LUCK. BEST YOU LEAVE BEFORE YOU ARE FOUND HERE.|А ПОТОМ, УДАЧИ. ЛУЧШЕ, ВЫ УЙДИТЕ ДО НАЙТИ ЗДЕСЬ.
299|YOU ARE IN A SMITHY.|ВЫ В КУЗНИЦЕ.
300| THE SMITH (A HUMAN) AND THREE FIRE GIANTS ARE WORKING ON A SUIT OF ARMOR. PILED UP OUT OF THE WAY ARE AN ASSORTMENT OF WEAPONS AND ARMOR.| СМИТ (ЧЕЛОВЕК) И ТРИ ОГНЕННЫХ ГИГАНТА РАБОТАЮТ НАД Доспехом. НА ДОРОГЕ СОБИРАЕТСЯ АССОРТИМЕНТ ОРУЖИЯ И Доспехов.
301|THE SMITH LOOKS UP FROM HIS WORK. 'WHAT DO YOU NEED?'|СМИТ ВИДЕТСЯ НА СВОЮ РАБОТУ. 'ЧТО ВАМ НУЖНО?'
302|THE SMITH IGNORES YOU AS HE HAMMERS ON A GREAVE.|СМИТ НЕ ЗАНИМАЕТСЯ ВАС, КАК ОН МОЛОТ НА ГРЕВИНУ.
303|THE SMITHY WIPES HIS BROW AND SAYS, 'NO, YOU NEVER GET TOTALLY USED TO THE HEAT, BUT IT'S NOT THAT BAD. NOW, IF YOU'LL EXCUSE ME I NEED TO GET BACK TO WORK.'|Смитти вытирает бровь и говорит: "НЕТ, ВАС НИКОГДА НЕ ИСПОЛЬЗУЕТСЯ ПОЛНОСТЬЮ НА ТЕПЛО, НО ЭТО НЕ ТАК ПЛОХО. СЕЙЧАС, ЕСЛИ ВЫ ИЗВИНИТЕ МЕНЯ, МНЕ НУЖНО ВЕРНУТЬСЯ К РАБОТЕ ".
304|YOU ARE IN A STANDARD MEAT SMOKEHOUSE... WELL MAYBE NOT QUITE STANDARD. YOU FEEL A LITTLE SICK AS YOU LOOK AT THE MEAT. THE SMELL AND THE SMOKE DON'T HELP EITHER.|ВЫ НАХОДИТЕСЬ В СТАНДАРТНОЙ МЯСНОЙ КОПИЧНОЙ ... МОЖЕТ БЫТЬ НЕ СОВЕРШЕННО СТАНДАРТНОЙ. ВЫ ЧУВСТВУЕТЕ НЕМНОГО БОЛЕЕ, Глядя на мясо. ЗАПАХ И ДЫМ НЕ ПОМОГАЮТ.
305|YOU ARE IN A BUILDING THAT WAS ONCE A BARRACKS BUT HAS NOW BEEN CONVERTED TO A TEMPLE OF BANE. AT THE FAR END OF THE ROOM IS A CRUDE ALTER.|ВЫ НАХОДИТЕСЬ В ЗДАНИИ, КОТОРЫЕ БЫЛИ БЫЛИ БАРРАК, НО СЕЙЧАС ПРЕОБРАЗОВАННЫ В ХРАМ БЕЙНА. В дальнем конце комнаты грубая переделка.
306|A PRIEST AND TWO ACOLYTES TURN FROM THE ALTER, 'WELCOME MY CHILDREN. COME FORWARD AND ACCEPT THE BLESSING OF LORD BANE.'|СВЯЩЕННИК И ДВА АКОЛИТА ОТВЕРГАЮТСЯ ОТ АЛЬТЕРА: "ДОБРО ПОЖАЛОВАТЬ МОИ ДЕТЕЙ. ИДИТЕ ВПЕРЕД И ПРИНИМАЙТЕ БЛАГОСЛОВЕНИЕ ГОСПОДА БЭНА ".
307|ACCEPT BLESSING|ПРИНИМАЙТЕ БЛАГОСЛОВЕНИЕ
308|TALK|ГОВОРИТЬ
309|LEAVE|ПОКИНУТЬ
310|KILL THEM|УБЕЙ ИХ
311|YOU ARE IN A STOREROOM FULL OF COAL.|ВЫ В КЛАДЕ, ЗАПОЛНЕННОЙ УГЛЕМ.
312|YOU ARE BEFORE THE ALTER. |ВЫ ПРЕЖДЕ ЧЕМ ИЗМЕНИТЬ.
313|NEAR IT IS THE OFFERING BOX WITH SOME CHANGE IN IT. |РЯДОМ ЭТО ПРЕДЛОЖЕНИЕ С НЕКОТОРЫМИ ИЗМЕНЕНИЯМИ.
314|THERE IS A FEELING OF SOMETHING IMMENSE AND EVIL STARING DOWN AT YOU...|ЧУВСТВО НЕОБХОДИМОСТИ И ЗЛО, ГЛЯДЯЩЕЕ НА ВАС ...
315|BEHIND THE ALTER ARE TWO CROSSED SWORDS. DO YOU TAKE THEM?|ПОЗАДИ АЛЬТЕРА ДВА СКРЕЩЕННЫХ МЕЧА. ВЫ ИХ ПРИНИМАЕТЕ?
316|YOU SEE A|ВЫ ВИДИТЕ
317|. THE LEADER YELLS 'SACRILEGIOUS SCUM!'|. ВЕДУЩИЙ КРИЧИТ: "СВЯЩЕННАЯ ОТБИВАЯ!"
318|'BLASPHEMERS! GET THEM!'|"БЛАГОДАРЯ! ВЗЯТЬ ИХ!'
319|YOU SEE A|ВЫ ВИДИТЕ
320|'WHAT ARE YOU DOING HERE?'|'ЧТО ТЫ ЗДЕСЬ ДЕЛАЕШЬ?'
321|THE LEADER ADVANCES.|ЛИДЕР ПРОДВИГАЕТСЯ.
322|WHAT ARE YOU DOING HERE?|ЧТО ТЫ ЗДЕСЬ ДЕЛАЕШЬ?
323|'ALL RIGHT, THEN. WHAT IS TODAY'S PASSWORD?'|'ТОГДА ВСЕ В ПОРЯДКЕ. ЧТО ТАКОЕ СЕГОДНЯ ПАРОЛЬ?
324|HARASH|ХАРАШ
325|THEY ADVANCE, WEAPONS READY|ОНИ ВПЕРЕДИ, ОРУЖИЕ ГОТОВО
326|YOU SEE A|ВЫ ВИДИТЕ
327|'WHAT ARE YOU DOING HERE?'|'ЧТО ТЫ ЗДЕСЬ ДЕЛАЕШЬ?'
328|THE LEADER ADVANCES.|ЛИДЕР ПРОДВИГАЕТСЯ.
329|WHAT ARE YOU DOING HERE?|ЧТО ТЫ ЗДЕСЬ ДЕЛАЕШЬ?
330|'ALL RIGHT, THEN. WHAT IS TODAY'S PASSWORD?'|'ТОГДА ВСЕ В ПОРЯДКЕ. ЧТО ТАКОЕ СЕГОДНЯ ПАРОЛЬ?
331|HARASH|ХАРАШ
332|AN ALARM IS SOUNDING.|ЗВУКАЕТ СИГНАЛ ТРЕВОГИ.
333|PRESS BUTTON OR <RETURN> TO CONTINUE|НАЖМИТЕ КНОПКУ ИЛИ <ВОЗВРАТ>, ЧТОБЫ ПРОДОЛЖИТЬ
334| | 
335|WILL YOU USE THE CLOTHING AS A DISGUISE?|БУДЕШЬ ЛИ ВЫ ИСПОЛЬЗОВАТЬ ОДЕЖДУ В КАЧЕСТВЕ ЗАКАЗА?
336|THEY HELP YOU PUT ON THE CLOTHES. 'HAVE NO FEAR.|ОНИ ПОМОГАЮТ НАДЕТЬ ОДЕЖДУ. "НЕ СТРАХАЙ.
337| WE WILL KEEP SILENCE.'| МЫ БУДЕМ МОЛЧАТЬ ".
338|TIE THEM UP|СВЯЗАТЬ ИХ
339|KILL THEM|УБЕЙ ИХ
