110|YOU ENTER THE ENORMOUS CAVE, SEARCH IT AND FIND NOTHING OF INTREST.  YOU THEN LEAVE.|ВЫ входите в огромную пещеру, исследуете ее и не находите ничего интересного. ВЫ ТОГДА УХОДИТЕ.
111|AS YOU ARE ENTERING THE CAVE, A MAGIC MOUTH APPEARS ON ONE OF THE WALLS.  IN A BOOMING VOICE IT SAYS, 'WHO ENTERS THE HOME OF DIOGENES?  SPEAK NOW AND DECLARE YOUR INTENT!'|Когда вы входите в пещеру, на одной из стен появляется волшебный рот. ГРОМКИМ ГОЛОСОМ ГОВОРИТ: "КТО ВОЙДЕТ В ДОМ ДИОГЕНОВ? ГОВОРИТЕ СЕЙЧАС И ОБЪЯВЛЯЙТЕ СВОЕ НАМЕРЕНИЕ! "
112|STATE NAME AND INTENT|ГОСУДАРСТВЕННОЕ НАЗВАНИЕ И НАМЕРЕНИЕ
113|LEAVE|ПОКИНУТЬ
114|WHAT WILL YOU SAY IS YOUR REASON FOR BEING HERE?|КАК ВЫ СКАЖЕТЕ ПРИЧИНА НАХОДИТЬСЯ ЗДЕСЬ?
115|DRAGON'S CAVE|ПЕЩЕРА ДРАКОНА
116|ASK DRAGON FOR ADVICE|СПРОСИТЕ ДРАКОНА ЗА СОВЕТОМ
117|CHALLENGE EVIL LEADER OF OLD PHLAN|ВЫЗОВ ЗЛОЕМУ ЛИДЕРУ СТАРОГО ФЛАНА
118|PLEDGE PARTY TO DRAGON'S SERVICE|ЗАЛОГ СЛУЖБЫ ДРАКОНА
119|OFFER A GIFT|ПРЕДЛОЖИТЬ ПОДАРОК
120|YOU HEAR A GREAT FLAPPING SOUND.  A STRONG WHOOSH OF AIR COMES DOWN UPON THE ADVENTURERS.  A LARGE SILVER DRAGON STANDS BEFORE YOU.  IN A BOOMING VOICE IT SAYS...|ВЫ СЛЫШАЕТЕ ОТЛИЧНЫЙ ЗВУК. СИЛЬНЫЙ ШУТ ВОЗДУХА НЕСЕТ НА ПРИКЛЮЧИТЕЛЕЙ. БОЛЬШОЙ СЕРЕБРЯНЫЙ ДРАКОН СТОИТ ПЕРЕД ВАМИ. ГРОМКИМ ГОЛОСОМ ГОВОРИТ ...
