227|THERE IS GREAT CONFUSION AS THE GUARDS RUN TO THEIR POSTS.|БОЛЬШАЯ ЗАМЕТКА, КОГДА ОХРАННИКИ БЕГАЮТ НА СВОИ ПОСТЫ.
228|SOME GUARDS SPOT YOU AND ATTACK.|НЕКОТОРЫЕ ОХРАННИКИ ЗНАЮТ ВАС И НАПАДАЮТ.
229|AT DUSK A GUARD COMES BY TO ESCORT YOU TO DINNER.|В СУМЕРКАХ ПРИХОДИТ ОХРАННИК, ЧТОБЫ СКАЗАТЬ ВАС НА УЖИН.
230|YOU ARRIVE AT THE OFFICERS MESS AND ARE SEATED WITH THE COMMANDANT AND HIS ADVISORS.  A FINE MEAL OF ROAST BOAR IS SERVED WITH A HEARTY RED WINE.|ВЫ ПРИБЫВАЕТЕ К ОФИЦЕРАМ MESS И РАСПОЛАГАЕТСЯ С КОМАНДАНТОМ И ЕГО СОВЕТНИКАМИ. ИСКУССТВЕННАЯ БЛЮДА ЖАРЕНОГО КАБАНА ПОДАТЬ СЕРДЕЧНОЕ КРАСНОЕ ВИНО.
231|THE COMMANDANT TURNS TO ONE OF THE CHARACTERS AND SAYS, 'SO, HOWS EVERYTHING IN PHLAN?'  WHAT WILL YOU TALK ABOUT?|КОМАНДАН ОБРАЩАЕТСЯ К ОДНОМУ ИЗ ПЕРСОНАЖЕЙ и ГОВОРИТ: "ТАК, КАК ВСЕ В ФЛАНЕ?" О ЧЕМ ВЫ ГОВОРИТЕ?
232|NOTHING|НИЧЕГО ТАКОГО
233|CITY|ГОРОД
234|MAGIC|МАГИЯ
235|POLITICS|ПОЛИТИКА
236|ARE YOU GOING TO TALK ABOUT NEW OR OLD PHLAN?|ВЫ СОБИРАЕТЕСЬ ГОВОРИТЬ О НОВОМ ИЛИ СТАРОМ ФЛАНЕ?
237|NEW|НОВЫЙ
238|OLD|СТАРЫЙ
239|THE CONVERSATION BEGINS TO DIE DOWN.  THE COMMANDANT  STARTS A CONVERSATION BY SAYING 'WELL, ARE YOU HAVING MUCH TROUBLE WITH THE CREATURES FROM OLD PHLAN?'|РАЗГОВОР НАЧИНАЕТ УМИРАТЬ. КОМАНДАНТ НАЧИНАЕТ БЕСЕДУ СКАЗАНИЯ: "У ВАС МНОГО ПРОБЛЕМ С СУЩЕСТВАМИ ИЗ СТАРОГО ФЛАНА?"
240|TALK|ГОВОРИТЬ
241|SAY LITTLE OR NOTHING|СКАЗАТЬ МАЛЕНЬКО ИЛИ НИЧЕГО
