1|THIS DIRECTION WILL TAKE YOU BACK INTO THE WILDERNESS. DO YOU STILL WANT TO GO THIS WAY?|ЭТО НАПРАВЛЕНИЕ вернет вас в дикую природу. ВЫ ВСЕ ЕЩЕ ХОТИТЕ ИДИТЬ ПО ЭТОМУ ПУТИ?
2|A GROUP OF NOMADS SPOT YOU. THEY SHOUT AND CHARGE. AS THEY COME CLOSER THEIR NUMBERS SWELL WITH ARRIVALS.|ГРУППА КОЧЕЧНИКОВ ОБЪЕДИНЯЕТ ВАС. ОНИ КРИЧАТ И ЗАРЯДАЮТ. По мере того, как они приближаются, их число растет с прибытием.
3|THE HEROIC DEATHS OF THOSE YOU HAVE JUST BATTLED HAS BOUGHT TIME FOR THE HEADMAN TO RALLY HIS PEOPLE. WITH A TREMENDOUS CRY HE LEADS HIS TRIBE INTO BATTLE.|ГЕРОИЧЕСКИЕ СМЕРТИ, КОТОРЫЕ ВЫ ПРОСТО СРАЖАЛИ, ПРИОБРЕЛИ ВРЕМЯ ДЛЯ ГОЛОВА СБОРНИТЬ СВОИХ ЛЮДЕЙ. С УДИВИТЕЛЬНЫМ плачем он ведет свой отряд в битву.
4|THE SOUND OF WAR CRIES DRAWS YOU OUT OF THE HUT. |ЗВУК ВОЕННЫХ КРИКОВ ВЫТЯГАЕТ ВАС ИЗ ХИЖИНЫ.
5|YOU TRIP ON A WIRE TO THE ACCOMPANIMENT OF BELLS TINKLING. AFTER A MOMENT THERE IS A COMMOTION AHEAD OF YOU.|ВЫ НАПИРАЕТЕСЬ НА ПРОВОД К СОПРОВОЖДЕНИЮ ЗВОНКА КОЛОНКАМИ. ПОСЛЕ МГНОВЕНИЯ ВАС ОПРЕДЕЛЯЕТСЯ ДВИЖЕНИЕ.
6|FLEE|БЕЖАТЬ
7|ADVANCE CAUTIOUSLY|ПРЕДОСТЕРЕЖЕНИЕ ОСТОРОЖНО
8|ATTACK|АТАКА
9|YOU CHARGE INTO A GROUP OF SCRUFFY LOOKING NOMADS.|ВЫ НАЧИНАЕТЕ ГРУППУ НОМАДОВ НЕВЕРНОГО ВИДА.
10|THE HEADMAN WALKS UP TO YOU WITH HIS GUARDS. 'GOOD MORNING. THERE ARE CELEBRATIONS PLANNED TODAY.'|РУКОВОДИТЕЛЬ ПОДХОДИТ К ВАМ С ОХРАННИКАМИ. "ДОБРОЕ УТРО. СЕГОДНЯ ЗАПЛАНИРОВАНЫ ПРАЗДНИКИ ".
11|'COME, LET THERE BE GAMES FOR OUR GUESTS.' HE LEADS YOU TO THE CAMP'S CENTRAL CLEARING.|"Приходите, ДА БУДЕТ ИГРЫ ДЛЯ НАШИХ ГОСТЕЙ". ОН ВЕДЕТ ВАС В ЦЕНТРАЛЬНЫЙ КЛИРИНГ ЛАГЕРЯ.
12|YOU ARE TREATED AS HONORED GUESTS FOR THE REST OF THE DAY. THERE ARE CONTESTS OF STRENGTH AND SKILL IN YOUR HONOR.|К ВАМ ЛЕЧИТСЯ КАК ЗАЧЕТНЫЕ ГОСТЯ НА ОТДЫХ ДНЯ. В ВАШЕЙ ЧЕСТИ СОБЫТИЯ СИЛЫ И УМЕНИЯ.
13|AS NIGHT FALLS, THE NOMADS BUILD A HUGE CAMPFIRE IN THE CENTER OF THE CAMP. THE WHOLE TRIBE GATHERS FOR THE FEAST. AFTER THE FEAST THERE IS DANCING AND WILD CELEBRATIONS.|С наступлением ночи кочевники строят ОГРОМНЫЙ ЛАГЕРЬ В ЦЕНТРЕ ЛАГЕРЯ. ВЕСЬ ПЕРЕВОЗКА СОБИРАЕТСЯ НА ПРАЗДНИК. ПОСЛЕ ПРАЗДНИКА ТАНЦЫ И ДИКИЕ ПРАЗДНИКИ.
14|DURING THE FESTIVITIES THE CHIEF (HIS TONGUE LOOSENED BY DRINK) TELLS YOU OF THE DANGERS OF THE REGION. YOU MAKE HASSAD AHWAL'S TALK ENTRY 55 IN YOUR JOURNAL.|ВО ВРЕМЯ ПРАЗДНИКА ГЛАВНЫЙ (ЕГО ЯЗЫК ОСЛАБЕН ОТ НАПИТКА) РАССКАЗЫВАЕТ ВАМ ОБ ОПАСНОСТЯХ РЕГИОНА. ВЫ ДЕЛАЕТЕ 55 В СВОЕМ ЖУРНАЛЕ РАЗГОВОР ХАССАДА АХВАЛА.
15|THE HEADMAN SEEMS VERY UNEASY AS HE CONTINUES TO SPEAK. HE PRACTICALLY BEGS YOU TO STAY FOR A FEW MORE DAYS, RATHER THAN LEAVE IN THE MORNING AS YOU PLANNED.|РУКОВОДИТЕЛЬ ВИДЕТСЯ ОЧЕНЬ НЕУДОБНЫМ, КОГДА ОН ПРОДОЛЖАЕТ ГОВОРИТЬ. ОН ПРАКТИЧНО ПРОСИТ ВАС остаться на несколько дней, а не уехать утром, как вы запланировали.
16|'MY SCOUTS HAVE SEEN EVIDENCE OF A LARGE BAND OF KOBOLDS IN THE VICINITY. I WORRY ABOUT MY PEOPLE. IF YOU WOULD STAY UNTIL THEY PASS I WOULD APPRECIATE IT.|"МОИ РАЗВЕДКИ ВИДЕЛИ ДОКАЗАТЕЛЬСТВА БОЛЬШОЙ БИРЖИ КОБОЛЬДОВ В БЛИЖАЙШЕСТВЕ. Я беспокоюсь о своих людях. ЕСЛИ ВЫ ОСТАНОВИТЕСЬ ДО ОНИ, Я ЦЕНИТ ЭТО.
17|'PLEASE THINK ABOUT IT OVERNIGHT.' AFTER A WHILE THE FESTIVITIES END AND YOU ARE ESCORTED TO YOUR LODGING. |"ПОЖАЛУЙСТА, ПОДУМАЙТЕ ОБ ЭТОМ НА НОЧЬ". ПОСЛЕ ЗАКОНЧЕНИЯ ПРАЗДНИКА И ВАС НАХОДИТСЯ В ВАШЕ ЖИЛЬЕ.
18|THE HEADMAN COMES TO YOU AND SAYS, 'ABOUT MY REQUEST OF LAST NIGHT, WHAT IS YOUR DECISION?'|РУКОВОДИТЕЛЬ подходит к вам и говорит: "КАКОЕ ВАШЕ РЕШЕНИЕ ПО ПРОСЬБЕ ПОСЛЕДНЕЙ НОЧИ?"
19|STAY AND FIGHT|ОСТАВАЙТЕСЬ И СРАЖАЙТЕСЬ
20|LEAVE|ПОКИНУТЬ
21|LOOKING DISAPPOINTED THE HEADMAN SAYS, 'GOOD LUCK IN YOUR TRAVELS.'|РАЗОЧАРОВАНИЕ ВИДА ГОЛОВА говорит: "УДАЧИ В ВАШИХ ПУТЕШЕСТВИЯХ".
22|YES|ДА
23|NO|НЕТ
//24| | 
25|A GUARD APPEARS BEFORE YOU, 'YOU MUST HAVE MADE A MISTAKE. ALLOW ME TO ESCORT YOU TO YOUR LODGING.'|ПЕРЕД ТЕБЯ ПОЯВЛЯЕТСЯ ОХРАННИК: "ВЫ ДОЛЖНЫ СДЕЛАТЬ ОШИБКУ. РАЗРЕШИТЕ ​​МНЕ СКОРБИТЬ ВАС В ВАШЕ ЖИЛЬЕ ".
26|FOLLOW THE GUARD|СЛЕДУЙТЕ ЗА СТРАЖЕЙ
27|ATTACK THE GUARD|АТАКА НА СТРАЖИ
28|AS THE GUARD TURNS TO ESCORT YOU BACK TO YOUR TENT, YOU SMILE AND STICK HIM IN THE BACK. WITH A CHOKED CRY HE COLLAPSES.|Когда охранник поворачивается, чтобы отвести вас обратно в палатку, вы улыбаетесь и приставляете ему в спину. С УДЫЛЕННЫМ КРИКОМ он рушится.
29|HOWEVER, AWAKENED BY THE TALK SOMEONE IN THE TENT HAS SEEN YOUR ACT AND A SCREAM GOES OUT 'TREACHERY! THEY HAVE SLAIN SAMIR!' THE CAMP BEGINS TO STIR.|ОДНАКО, проснувшись от разговора, кто-то в палатке увидел ваш акт, и раздались крики - "ПРЕДИСЛОВИЕ! ОНИ УБИЛИ САМИРА! ЛАГЕРЬ НАЧИНАЕТСЯ.
30|THE HEADMAN COMES TO YOU AND SAYS, 'ABOUT MY REQUEST OF LAST NIGHT, WHAT IS YOUR DECISION?'|РУКОВОДИТЕЛЬ подходит к вам и говорит: "КАКОЕ ВАШЕ РЕШЕНИЕ ПО ПРОСЬБЕ ПОСЛЕДНЕЙ НОЧИ?"
31|STAY AND FIGHT|ОСТАВАЙТЕСЬ И СРАЖАЙТЕСЬ
32|LEAVE|ПОКИНУТЬ
33|LOOKING DISAPPOINTED THE HEADMAN SAYS, 'GOOD LUCK IN YOUR TRAVELS.'|РАЗОЧАРОВАНИЕ ВИДА ГОЛОВА говорит: "УДАЧИ В ВАШИХ ПУТЕШЕСТВИЯХ".
34|PRESS BUTTON OR <RETURN> TO CONTINUE|НАЖМИТЕ КНОПКУ ИЛИ <ВОЗВРАТ>, ЧТОБЫ ПРОДОЛЖИТЬ
//35| | 
