136|YOU SENSE AN ANTI-MAGIC SHELL AROUND YOU.|ВЫ ЧУВСТВУЕТЕ АНТИМАГИЧЕСКУЮ ОБОЛОЧКУ ВОКРУГ.
137| | 
138|PRESS <RETURN> OR BUTTON TO CONTINUE|НАЖМИТЕ <ВОЗВРАТ> ИЛИ КНОПКУ, ЧТОБЫ ПРОДОЛЖИТЬ
139| | 
140|YOU ENTER A BUILDING WHOSE WALLS ARE MORE OR LESS INTACT, THOUGH THE ROOF HAS FALLEN IN. RUBBLE MAKES PASSAGE DIFFICULT.|ВЫ заходите в здание, стены которого более или менее повреждены, хотя крыша обрушилась. РЕЗЬБА ДЕЛАЕТ ПРОХОДИМ СЛОЖНЫМ.
141|SEARCHING THROUGH THE |ПОИСК ПО
142| YOU FIND A HIDDEN TUNNEL LEADING DOWN. DO YOU TAKE IT?| ВЫ НАЙДЕТЕ СКРЫТЫЙ ТУННЕЛЬ, ВЕДУЩИЙ ВНИЗ. ВЫ ПРИНИМАЕТЕ?
143|YOU ARE NO LONGER GOING DOWN. SUDDENLY YOU HEAR A NOISE. THERE ARE GIANT LIZARDS CHARGING! THERE IS NO TIME TO REACT. COMBAT IS UPON YOU!|ВЫ БОЛЬШЕ НЕ УХОДИТЕ. ВНЕЗАПНО ВЫ СЛЫШАЕТЕ ШУМ. ЕСТЬ ЗАРЯДКА ГИГАНТСКИХ ЯНИЦ! ВРЕМЕНИ НА РЕАКЦИЮ НЕТ. БОЙ ЗА ВАС!
144|YOU ENTER THE REMAINS OF THE CENTRAL KEEP. THE CEILING AND WALLS HAVE COLLAPSED TO THE POINT WHERE THE INTERIOR IS CHOKED WITH RUBBLE.|ВЫ ВХОДИТЕ В ОСТАТКИ ЦЕНТРАЛЬНОГО ХРАНИЛИЩА. ПОТОЛОК И СТЕНЫ ОБВАЛИЛИСЬ ДО ТОЧКИ, ГДЕ ИНТЕРЬЕР ЗАБИВАЕТСЯ РЕЗИНОМ.
145|YOU HAVE ENTERED AN L-SHAPED BUILDING. IT IS REASONALBLY INTACT... THERE ARE EVEN PORTIONS OF ROOF OVERHEAD!|ВЫ ВСТУПИЛИ В ЗДАНИЕ Г-образной формы. ЭТО РАЗУМНО ПОВРЕЖДЕНО ... ЕСТЬ ДАЖЕ ЧАСТИ КРЫШИ!
146|YOU FIND SOME TREASURE!|ВЫ НАЙДЕТЕ НЕКОТОРЫЕ СОКРОВИЩА!
